                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     66,                 1.1454,                0.87664,                 1.1387,                0.78226,                 0.6566,                0.74642,                0.47751,                 1.2788,                 1.0261,                 1.2501,               0.000713,               0.000713,               0.000713
                     67,                 1.1459,                0.87638,                 1.1468,                0.77465,                0.65726,                 0.7473,                0.47763,                 1.2841,                 1.0334,                 1.2346,              0.0006932,              0.0006932,              0.0006932
                     68,                 1.1475,                0.88651,                 1.1461,                 0.7837,                0.64709,                0.74532,                 0.4797,                 1.2895,                  1.023,                 1.2485,              0.0006734,              0.0006734,              0.0006734
                     69,                 1.1446,                0.84791,                 1.1407,                0.77644,                0.66362,                0.75472,                0.48492,                 1.2965,                 1.0165,                 1.2451,              0.0006536,              0.0006536,              0.0006536
                     70,                 1.1378,                0.85179,                 1.1323,                 0.7689,                0.64084,                0.73202,                0.46905,                 1.2891,                 1.0387,                 1.2559,              0.0006338,              0.0006338,              0.0006338
                     71,                 1.1149,                0.82778,                 1.1362,                0.78973,                0.65332,                0.75173,                0.48353,                 1.2718,                 1.0174,                 1.2396,               0.000614,               0.000614,               0.000614
                     72,                 1.1156,                0.82946,                 1.1351,                 0.8131,                0.63296,                0.74603,                 0.4714,                 1.2832,                 1.0316,                 1.2536,              0.0005942,              0.0005942,              0.0005942
                     73,                 1.1288,                0.84712,                 1.1333,                0.75349,                0.65923,                0.74474,                0.47805,                 1.2769,                 1.0089,                  1.251,              0.0005744,              0.0005744,              0.0005744
                     74,                 1.1177,                0.83898,                 1.1313,                0.75868,                0.66054,                0.74562,                0.47817,                 1.2957,                 1.0394,                 1.2605,              0.0005546,              0.0005546,              0.0005546
                     75,                 1.1117,                0.82842,                 1.1267,                0.79199,                0.65498,                0.75521,                0.48504,                 1.2725,                 1.0165,                 1.2548,              0.0005348,              0.0005348,              0.0005348
                     76,                 1.1127,                0.81554,                 1.1227,                0.79829,                0.66185,                 0.7571,                0.48813,                 1.2585,                 0.9931,                 1.2407,               0.000515,               0.000515,               0.000515
                     77,                 1.0769,                0.79238,                  1.112,                0.79542,                0.65101,                0.75335,                0.48011,                 1.2933,                 1.0156,                 1.2498,              0.0004952,              0.0004952,              0.0004952
                     78,                 1.0915,                0.79378,                 1.1047,                0.79281,                 0.6566,                0.75733,                0.48228,                 1.2746,                 1.0194,                 1.2399,              0.0004754,              0.0004754,              0.0004754
                     79,                 1.0895,                 0.7841,                 1.1112,                0.78825,                0.65594,                0.75659,                0.48439,                 1.2616,                0.98902,                 1.2363,              0.0004556,              0.0004556,              0.0004556
                     80,                 1.1065,                0.79709,                 1.1168,                0.78989,                0.66645,                0.75451,                0.48384,                 1.2675,                 1.0134,                 1.2469,              0.0004358,              0.0004358,              0.0004358
                     81,                 1.0992,                0.79944,                 1.1096,                 0.7605,                0.67969,                0.75761,                0.48887,                 1.2543,                 1.0043,                  1.237,               0.000416,               0.000416,               0.000416
                     82,                 1.0766,                0.77405,                 1.0912,                0.78638,                0.66776,                0.76095,                0.48956,                 1.2585,                0.99909,                 1.2322,              0.0003962,              0.0003962,              0.0003962
                     83,                  1.091,                0.79484,                 1.1014,                0.79568,                0.65397,                0.75838,                0.48561,                 1.2759,                0.99137,                 1.2423,              0.0003764,              0.0003764,              0.0003764
                     84,                  1.068,                0.76472,                 1.1116,                0.79027,                0.64938,                0.75344,                0.48426,                 1.2601,                0.97513,                 1.2367,              0.0003566,              0.0003566,              0.0003566
                     85,                 1.0699,                0.77375,                 1.1012,                0.78591,                0.66907,                0.75794,                0.48702,                 1.2709,                0.98883,                 1.2475,              0.0003368,              0.0003368,              0.0003368
                     86,                 1.0804,                0.77441,                 1.0935,                0.80289,                0.65726,                0.75525,                0.48872,                 1.2571,                0.99596,                 1.2247,               0.000317,               0.000317,               0.000317
                     87,                 1.0517,                 0.7555,                 1.0896,                0.80573,                0.65791,                0.75082,                0.48124,                 1.2684,                 1.0088,                 1.2411,              0.0002972,              0.0002972,              0.0002972
                     88,                 1.0554,                0.76003,                 1.0852,                0.78586,                0.64478,                0.74657,                0.48468,                 1.2609,                0.98985,                 1.2378,              0.0002774,              0.0002774,              0.0002774
                     89,                 1.0369,                 0.7397,                 1.0882,                0.78751,                0.66185,                0.75312,                0.48553,                 1.2672,                0.98585,                 1.2466,              0.0002576,              0.0002576,              0.0002576
                     90,                   1.03,                0.75448,                 1.0877,                 0.7632,                0.67695,                0.75353,                0.48645,                 1.2621,                0.99821,                 1.2463,              0.0002378,              0.0002378,              0.0002378
                     91,                 1.0315,                0.72908,                 1.0764,                0.79226,                0.65266,                0.75183,                0.48134,                 1.2777,                0.97866,                 1.2586,               0.000218,               0.000218,               0.000218
                     92,                 1.0047,                0.67827,                 1.0623,                0.79957,                0.64872,                0.74212,                0.47876,                  1.269,                  1.005,                 1.2434,              0.0001982,              0.0001982,              0.0001982
                     93,                0.99172,                0.66045,                 1.0566,                0.77654,                0.66316,                0.74494,                0.48086,                  1.275,                 1.0054,                 1.2516,              0.0001784,              0.0001784,              0.0001784
                     94,                0.97775,                0.65553,                 1.0485,                0.81165,                0.64741,                0.75297,                0.48845,                 1.2681,                0.98261,                 1.2417,              0.0001586,              0.0001586,              0.0001586
                     95,                0.96288,                0.63113,                  1.037,                0.79521,                0.66382,                0.75219,                 0.4865,                   1.27,                0.99779,                 1.2486,              0.0001388,              0.0001388,              0.0001388
                     96,                0.97152,                0.64388,                  1.043,                0.78983,                0.66129,                0.75153,                0.48291,                 1.2698,                0.99188,                 1.2511,               0.000119,               0.000119,               0.000119
                     97,                0.98312,                0.64994,                 1.0485,                0.80736,                0.64394,                0.74979,                0.48794,                 1.2607,                0.98279,                 1.2403,               9.92e-05,               9.92e-05,               9.92e-05
                     98,                0.95151,                0.62266,                 1.0378,                0.82006,                0.64036,                0.75234,                0.48808,                 1.2455,                0.98532,                 1.2356,               7.94e-05,               7.94e-05,               7.94e-05
                     99,                0.96593,                0.62657,                 1.0366,                0.79609,                0.66054,                0.75575,                0.48753,                 1.2562,                0.97786,                  1.242,               5.96e-05,               5.96e-05,               5.96e-05
                    100,                0.92667,                 0.6249,                  1.027,                0.80786,                0.64938,                0.74941,                0.48486,                  1.259,                0.99626,                 1.2444,               3.98e-05,               3.98e-05,               3.98e-05
